id,date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
o886p8fv77,2011-05-19,20110519190121,,-unknown-,,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
dxbyx3dcnt,2011-05-19,20110519191402,,-unknown-,30.0,basic,0,en,seo,google,untracked,Web,Mac Desktop,Chrome,NDF
6ayf3180nj,2011-05-19,20110519193110,,-unknown-,,basic,2,en,other,craigslist,untracked,Web,Android Phone,Chrome Mobile,NDF
g5umdfqwrr,2011-05-19,20110519202919,2011-05-25,FEMALE,34.0,basic,3,en,sem-non-brand,google,tracked-other,Web,Mac Desktop,Chrome,US
ssbf74c7ei,2011-05-19,20110519205038,2011-05-21,FEMALE,56.0,basic,2,en,direct,direct,linked,Web,Mac Desktop,Safari,US
abs1jupjcj,2011-05-19,20110519211458,2011-05-20,FEMALE,61.0,basic,2,en,seo,google,linked,Web,Windows Desktop,Firefox,US
anmdaupdnq,2011-05-19,20110519220335,,-unknown-,,basic,3,en,sem-non-brand,google,linked,Web,iPad,Mobile Safari,NDF
o2xsf9j1bs,2011-05-19,20110519221013,2011-05-21,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
r3shlcd2ss,2011-05-19,20110519223243,,-unknown-,,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Chrome,NDF
3knisfr34n,2011-05-19,20110519225133,2011-05-25,-unknown-,42.0,facebook,0,en,other,other,untracked,Web,Windows Desktop,Chrome,FR
02l0vcl1ol,2011-05-19,20110519230512,2011-11-26,FEMALE,35.0,basic,3,en,sem-non-brand,google,untracked,Web,Mac Desktop,Firefox,US
ol4j3welfg,2011-05-20,20110520001108,,-unknown-,,facebook,2,en,sem-non-brand,google,untracked,Web,Mac Desktop,Chrome,NDF
5np7vepdj8,2011-05-20,20110520013644,,-unknown-,,facebook,2,en,other,craigslist,omg,Web,Mac Desktop,Chrome,NDF
du44af9iat,2011-05-20,20110520014032,2011-05-20,-unknown-,,facebook,3,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
w1bn81hg1h,2011-05-20,20110520024044,2011-11-04,MALE,31.0,facebook,2,en,sem-brand,google,untracked,Web,Windows Desktop,IE,other
whac6d2jcw,2011-05-20,20110520031821,2011-05-25,FEMALE,57.0,basic,3,en,sem-non-brand,google,omg,Web,Mac Desktop,Chrome,US
8ceg9zqlg2,2011-05-20,20110520033639,,-unknown-,26.0,basic,2,en,content,google,omg,Web,Windows Desktop,IE,NDF
vkjxfnp0sb,2011-05-20,20110520040327,,-unknown-,,facebook,2,en,other,craigslist,untracked,Web,Other/Unknown,-unknown-,NDF
kfkeggi15p,2011-05-20,20110520043121,2011-05-26,-unknown-,,basic,2,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,US
6xsybr7u2i,2011-05-20,20110520064242,,MALE,28.0,basic,0,en,other,craigslist,untracked,Web,Windows Desktop,Chrome,NDF
ft15gszoq7,2011-05-20,20110520093321,2011-05-27,-unknown-,,basic,0,en,sem-brand,google,untracked,Web,Mac Desktop,Firefox,US
uoifnigtu7,2011-05-20,20110520144713,2011-05-20,-unknown-,,facebook,2,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
kbr1hc6rau,2011-05-20,20110520162020,,-unknown-,,facebook,2,en,other,craigslist,untracked,Web,Other/Unknown,-unknown-,NDF
ncksujcvib,2011-05-20,20110520175251,,FEMALE,40.0,basic,3,en,other,craigslist,linked,Web,Mac Desktop,Safari,NDF
cs49zza4f3,2011-05-20,20110520183409,,-unknown-,,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,NDF
e8mnixk1qt,2011-05-20,20110520221553,2011-05-21,FEMALE,70.0,basic,0,en,sem-non-brand,google,omg,Web,iPad,Mobile Safari,US
uoy5qxrqcv,2011-05-20,20110520221711,,-unknown-,,basic,0,en,sem-brand,google,,Web,Other/Unknown,-unknown-,NDF
54av4jdfhr,2011-05-20,20110520222852,,-unknown-,,basic,2,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,NDF
qw52tu1cf6,2011-05-20,20110520231410,2011-05-22,-unknown-,,basic,2,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
